a;а
fasten;закрепить
fat;жир
fatal;фатальный
fate;судьба
father;отец
fault;вина
favour;одолжение
favourable;благоприятный
favourite;любимый
fear;страх
feat;подвиг
feather;перо
feature;особенность
February;Февраль
federal;федеральный
fee;плата
feed;корм
feedback;Обратная связь
feel;Чувствовать
feeling;чувство
fellow;товарищ
female;женщина
feminist;феминистка
fence;забор
festival;фестиваль
fever;высокая температура
few;мало
fibre;волокно
fiction;художественная литература
field;поле
fierce;жестокий
fifteen;15
fifth;пятый
fifty;50
fight;борьба
fighting;борьба
figure;фигура
file;файл
fill;заполнить
film;фильм
film-maker;режиссер
filter;фильтр
final;окончательный
finally;Ну наконец то
finance;финансы
financial;финансовый
find;находить
finding;находка
fine;хорошо
finger;Палец
finish;Конец
fire;Пожар
firearm;огнестрельное оружие
firefighter;пожарный
firework;салют
firm;фирма
firmly;твердо
first;первый
firstly;в первую очередь
fish;рыба
fishing;ловля рыбы
fit;поместиться
fitness;фитнес
five;5
fix;исправить
fixed;фиксированный
fixture;приспособление
flag;флаг
flame;пламя
flash;вспышка
flat;плоский
flavour;аромат
flaw;изъян
flawed;испорченный
flee;бежать
fleet;флот
flesh;плоть
flexibility;гибкость
flexible;гибкий
flight;рейс
float;плавать
flood;наводнение
floor;этаж
flour;мука
flourish;процветать
flow;течь
flower;цветок
flu;грипп
fluid;жидкость
fly;летать
flying;летающий
focus;фокус
fold;складывать
folding;складывание
folk;народ
follow;следовать
following;следующий
fond;любит
food;еда
fool;дурак
foot;стопа
footage;кадры
football;футбол
for;за
forbid;запретить
force;сила
forecast;прогноз
foreign;иностранный
foreigner;иностранец
forest;лес
forever;навсегда
forge;ковать
forget;забыть
forgive;простить
fork;вилка
form;форма
formal;формальный
format;формат
formation;формирование
former;бывший
formerly;раньше
formula;формула
formulate;сформулировать
forth;вперед
forthcoming;предстоящий
fortunate;удачливый
fortunately;к счастью
fortune;удача
forty;сорок
forum;Форум
forward;вперед
fossil;ископаемое
foster;воспитывать
found;найденный
foundation;Фонд
founder;основатель
four;четыре
fourteen;четырнадцать
fourth;четвертый
fraction;дробная часть
fragile;хрупкий
fragment;фрагмент
frame;Рамка
framework;фреймворк
franchise;франшиза
frankly;Откровенно
fraud;мошенничество
free;бесплатно
freedom;свобода
freely;свободно
freeze;заморозить
frequency;частота
frequent;частый
frequently;часто
fresh;свежий
Friday;Пятница
fridge;холодильник
friend;друг
friendly;дружелюбный
friendship;дружба
frighten;пугать
frightened;испуганный
frightening;пугающий
frog;лягушка
from;от
front;фронт
frozen;замороженный
fruit;фрукты
frustrated;разочарованный
frustrating;разочарование
frustration;разочарование
fry;жарить
fuel;топливо
fulfil;выполнять
full;полный
full-time;на постоянной основе
fully;полностью
fun;весело
function;функция
functional;функциональный
fund;фонд
fundamental;фундаментальный
fundamentally;в корне
funding;финансирование
fundraising;сбор средств
funeral;похороны
funny;смешной
fur;мех
furious;яростный
furniture;мебель
further;в дальнейшем
furthermore;более того
future;будущее
gain;усиление
gallery;галерея
gallon;галлон
gambling;азартные игры
game;игра
gaming;игра
gang;банда
gap;разрыв
garage;гараж
garden;сад
gas;газ
gate;Ворота
gather;собирать
gathering;сбор
gay;гей
gaze;посмотреть
gear;передача
gender;Пол
gene;ген
general;Общее
generally;обычно
generate;генерировать
generation;поколение
generic;общий
generous;щедрый
genetic;генетический
genius;гений
genocide;геноцид
genre;жанр
gentle;нежный
gentleman;джентльмен
genuine;подлинный
genuinely;искренне
geography;география
gesture;жест
get;получить
ghost;призрак
giant;гигант
gift;подарок
gig;концерт
girl;девушка
girlfriend;любимая девушка
give;дайте
glad;рад
glance;взгляд
glass;стекло
glimpse;проблеск
global;Глобальный
globalization;глобализация
globe;глобус
glorious;славный
glory;слава
glove;перчатка
go;идти
goal;Цель
god;Бог
gold;золото
golden;золотой
golf;гольф
good;хороший
goodbye;Прощай
goodness;доброта
goods;товар
gorgeous;великолепный
govern;управлять
governance;управление
government;правительство
governor;губернатор
grab;схватить
grace;Грейс
grade;оценка
gradually;постепенно
graduate;выпускник
grain;зерно
grand;великий
grandfather;дедушка
grandmother;бабушка
grandparent;дедушка и бабушка
grant;даровать
graphic;графический
graphics;графика
grasp;схватывать
grass;трава
grateful;благодарен
grave;могила
gravity;сила тяжести
great;отличный
greatly;сильно
green;зеленый
greenhouse;теплица
greet;приветствовать
grey;серый
grid;сетка
grief;горе
grin;ухмылка
grind;измельчать
grip;рукоятка
grocery;бакалея
gross;валовой
ground;земля
group;группа
grow;расти
growth;рост
guarantee;гарантия
guard;охранять
guerrilla;партизанский
guess;угадать
guest;гость
guidance;руководство
guide;руководство
guideline;руководство
guilt;чувство вины
guilty;виноват
guitar;гитара
gun;пистолет
gut;кишка
guy;парень
gym;Гимнастический зал
habit;привычка
habitat;место обитания
hail;град
hair;волосы
half;половина
halfway;наполовину
hall;зал
halt;остановка
hand;рука
handful;горсть
handle;ручка
handling;обработка
handy;удобный
hang;повесить
happen;случиться
happily;счастливо
happiness;счастье
happy;счастливый
harassment;преследование
harbour;гавань
hard;жесткий
hardly;едва
hardware;оборудование
harm;вред
harmful;вредный
harmony;гармония
harsh;суровый
harvest;урожай
hat;шляпа
hate;ненавидеть
hatred;ненависть
haunt;преследовать
have;имеют
have auxiliary;иметь вспомогательные
have to modal;должны модальные
hazard;опасность
he;он
head;голова
headache;Головная боль
headline;Заголовок
headquarters;штаб-квартира
heal;исцелить
health;здоровье
healthcare;здравоохранение
healthy;здоровый
hear;слышать
hearing;слушание
heart;сердце
heat;высокая температура
heating;обогрев
heaven;небеса
heavily;сильно
heavy;тяжелый
heel;пятка
height;высота
heighten;повышать
helicopter;вертолет
hell;ад
hello;Здравствуйте
helmet;шлем
help;Помогите
helpful;полезный
hence;следовательно
her;ей
herb;трава
here;Вот
heritage;наследие
hero;герой
hers;ее
herself;сама
hesitate;колебаться
hey;Привет
hi;Здравствуй
hidden;скрытый
hide;скрывать
hierarchy;иерархия
high;высоко
high-profile;Высокий профиль
highlight;выделить
highly;высоко
highway;шоссе
hilarious;веселый
hill;холм
him;ему
himself;сам
hint;намек
hip;бедро
hire;нанимать
his;его
historian;историк
historic;исторический
historical;исторический
history;история
hit;удар
hobby;хобби
hockey;хоккей
hold;держать
hole;дыра
holiday;день отдыха
hollow;полый
holy;святой
home;Главная
homeland;Родина
homeless;бездомный
homework;домашнее задание
honest;честный
honesty;честность
honour;честь
hook;крючок
hope;надежда
hopeful;обнадеживающий
hopefully;с надеждой
horizon;горизонт
horn;рог
horrible;какой ужас
horror;фильм ужасов
horse;лошадь
hospital;больница
host;хозяин
hostage;заложник
hostile;враждебный
hostility;враждебность
hot;горячей
hotel;Гостиница
hour;час
house;дом
household;домашнее хозяйство
housing;Корпус
how;как
however;Однако
huge;огромный
human;человек
humanitarian;гуманитарный
humanity;человечество
humble;скромный
humorous;юмористический
humour;юмор
hundred;сотня
hunger;голод
hungry;голоден
hunt;охота
hunting;охота
hurricane;ураган
hurry;торопиться
hurt;причинить боль
husband;муж
hydrogen;водород
hypothesis;гипотеза
I;я
ice;лед
ice cream;мороженое
icon;икона
ID;Я БЫ
idea;идея
ideal;идеальный
identical;идентичный
identification;идентификация
identify;идентифицировать
identity;идентичность
ideological;идеологический
ideology;идеология
idiot;идиот
if;если
ignorance;невежество
ignore;игнорировать
ill;больной
illegal;незаконный
illness;болезнь
illusion;иллюзия
illustrate;иллюстрировать
illustration;иллюстрация
image;образ
imagery;образы
imaginary;воображаемый
imagination;воображение
imagine;представить
immediate;немедленный
immediately;немедленно
immense;необъятный
immigrant;иммигрант
immigration;иммиграция
imminent;неизбежный
immune;невосприимчивый
impact;влияние
impatient;нетерпеливый
implement;осуществлять
implementation;реализация
implication;значение
imply;подразумевать
import;импорт
importance;важность
important;важный
impose;навязывать
impossible;невозможно
impress;произвести впечатление
impressed;впечатлен
impression;впечатление
impressive;впечатляющий
imprison;заключить в тюрьму
imprisonment;лишение свободы
improve;улучшить
improvement;улучшение
in;в
inability;неспособность
inadequate;неадекватный
inappropriate;неуместен
incentive;стимул
inch;дюйм
incidence;заболеваемость
incident;инцидент
inclined;склонный
include;включают
included;включены
including;включая
inclusion;включение
income;доход
incorporate;включать
incorrect;неверный
increase;увеличение
increasingly;все больше
incredible;невероятно
incredibly;невероятно
incur;нести
indeed;действительно
independence;независимость
independent;независимый
index;индекс
indicate;указать
indication;индикация
indicator;показатель
indictment;обвинительный акт
indigenous;коренной
indirect;косвенный
individual;индивидуальный
indoor;в помещении
indoors;в помещении
induce;побудить
indulge;баловаться
industrial;промышленный
industry;промышленность
inequality;неравенство
inevitable;неизбежный
inevitably;неизбежно
infamous;печально известный
infant;младенец
infect;заразить
infection;инфекция
infer;сделать вывод
inflation;инфляция
inflict;нанести
influence;оказывать влияние
influential;влиятельный
info;Информация
inform;поставить в известность
informal;неофициальный
information;Информация
infrastructure;инфраструктура
ingredient;ингредиент
inhabitant;житель
inherent;присущий
inherit;наследовать
inhibit;подавлять
initial;начальный
initially;первоначально
initiate;положить начало
initiative;инициатива
inject;вводить
injection;инъекция
injure;травмировать
injured;ранен
injury;травма, повреждение
injustice;несправедливость
ink;чернила
inmate;заключенный
inner;внутренний
innocent;невиновный
innovation;инновации
innovative;новаторский
input;ввод
inquiry;запрос
insect;насекомое
insert;вставить
insertion;вставка
inside;внутри
insider;инсайдер
insight;в поле зрения
insist;настаивать
inspect;осмотреть
inspection;осмотр
inspector;инспектор
inspiration;вдохновение
inspire;вдохновлять
install;установить
installation;установка
instance;пример
instant;мгновенный
instantly;мгновенно
instead;вместо
instinct;инстинкт
institute;институт
institution;учреждение
institutional;институциональный
instruct;инструктировать
instruction;инструкция
instructor;инструктор
instrument;инструмент
instrumental;инструментальный
insufficient;недостаточный
insult;оскорбление
insurance;страхование
intact;неповрежденный
intake;прием
integral;интеграл
integrate;интегрировать
integrated;интегрированный
integration;интеграция
integrity;целостность
intellectual;интеллектуальный
intelligence;интеллект
intelligent;умный
intend;намереваться
intended;предназначены
intense;интенсивный
intensify;усилить
intensity;интенсивность
intensive;интенсивный
intent;намерение
intention;намерение
interact;взаимодействовать
interaction;взаимодействие
interactive;интерактивный
interest;интерес
interested;заинтересованный
interesting;интересный
interface;интерфейс
interfere;мешать
interference;вмешательство
interim;промежуточный
interior;интерьер
intermediate;средний
internal;внутренний
international;Международный
internet;Интернет
interpret;интерпретировать
interpretation;интерпретация
interrupt;прервать
interval;интервал
intervene;вмешиваться
intervention;вмешательство
interview;опрос
intimate;интимный
into;в
intriguing;интригующий
introduce;вводить
introduction;вступление
invade;вторгаться
invasion;вторжение
invent;изобретать
invention;изобретение
invest;инвестировать
investigate;исследовать
investigation;расследование
investigator;следователь
investment;вложение
investor;инвестор
invisible;невидимый
invitation;приглашение
invite;пригласить
invoke;вызывать
involve;вовлекать
involved;участвует
involvement;участие
iron;железо
ironic;ироничный
ironically;по иронии судьбы
irony;ирония
irrelevant;несущественный
island;остров
isolate;изолировать
isolated;изолированные
isolation;изоляция
issue;выпуск
IT;ЭТО
item;пункт
its;его
itself;сам
jacket;куртка
jail;тюрьма
jam;варенье
January;Январь
jazz;джаз
jeans;джинсы
jet;струя
jewellery;украшения
job;работа
join;присоединиться
joint;совместный
joke;шутка
journal;журнал
journalism;журналистика
journalist;журналист
journey;поездка
joy;радость
judge;судить
judgement;суждение
judicial;судебный
juice;сок
July;Июль
jump;Прыжок
junction;соединение
June;Июнь
junior;младший
jurisdiction;юрисдикция
jury;жюри
just;просто
justice;справедливость
justification;оправдание
justify;оправдать
keen;увлеченный
keep;хранить
key;ключ
keyboard;клавиатура
kick;удар
kid;дитя
kidnap;похищать
kidney;почка
kill;убийство
killing;убийство
kilometre;километр
kind;своего рода
king;король
kingdom;царство
kiss;поцелуй
kit;Комплект
kitchen;кухня
knee;колено
knife;нож
knock;стучать
know;знать
knowledge;знание
lab;лаборатория
label;этикетка
laboratory;лаборатория
labour;труд, работа
lack;недостаток
lad;парень
ladder;лестница
lady;леди
lake;озеро
lamp;фонарь
land;земля
landing;посадка
landlord;домовладелец
landmark;ориентир
landscape;пейзаж
lane;полоса дороги
language;язык
lap;круг
laptop;ноутбук
large;большой
large-scale;крупномасштабный
largely;во многом
laser;лазер
last;последний
late;поздно
lately;в последнее время
later;позже
latest;последний
latter;последний
laugh;смеяться
laughter;смех
launch;запускать
law;закон
lawn;лужайка
lawsuit;иск
lawyer;адвокат
lay;заложить
layer;слой
layout;макет
lazy;ленивый
lead;вести
leader;лидер
leadership;лидерство
leading;ведущий
leaf;лист
leaflet;листовка
league;лига
leak;утечка
lean;опираться
leap;прыжок
learn;учиться
learning;обучение
least;наименее
leather;натуральная кожа
leave;Покидать
lecture;лекция
left;оставил
leg;нога
legacy;наследие
legal;законный
legend;легенда
legendary;легендарный
legislation;законодательство
legislative;законодательный
legislature;законодательная власть
legitimate;законный
leisure;досуг
lemon;лимон
lend;давать в долг
length;длина
lengthy;длительный
lens;линза
lesbian;лесбиянка
less;Меньше
lesser;меньший
lesson;урок
let;позволять
lethal;смертельный
letter;письмо
level;уровень
liable;ответственный
liberal;либеральный
liberation;освобождение
liberty;свобода
library;библиотека
licence;лицензия
license;лицензия
lie;ложь
lie 1;ложь 1
lie 2;ложь 2
life;жизнь
lifelong;пожизненный
lifestyle;Стиль жизни
lifetime;продолжительность жизни
lift;лифт
light;свет
lighting;осветительные приборы
like;нравиться
likelihood;вероятность
likely;скорее всего
likewise;точно так же
limb;конечность
limit;предел
limitation;ограничение
limited;ограниченное
line;линия
line-up;расстановка
linear;линейный
linger;задерживаться
link;ссылка
lion;лев
lip;губа
liquid;жидкость
list;список
listen;Слушать
listener;слушатель
listing;листинг
literacy;грамотность
literally;буквально
literary;литературный
literature;литература
litre;литр
litter;мусор
little;немного
live;жить
lively;оживленный
liver;печень
living;живущий
load;грузить
loan;ссуда
lobby;лобби
local;местный
locate;найти
located;расположены
location;место расположения
lock;замок
log;журнал
logic;логика
logical;логичный
logo;логотип
lonely;Одинокий
long;длинный
long-standing;давний
long-term;долгосрочный
long-time;много времени
look;смотреть
loom;ткацкий станок
loop;петля
loose;свободный
lord;господин
lorry;грузовик
lose;терять
loss;потеря
lost;потерянный
lot;много
lottery;лотерея
loud;громкий
loudly;громко
love;любовь
lovely;прекрасный
low;низкий
lower;ниже
loyal;лояльный
loyalty;верность
luck;удача
lucky;счастливчик
lunch;обед
lung;легкое
luxury;роскошь
lyric;лирический
machine;машина
machinery;машины
mad;без ума
magazine;журнал
magic;магия
magical;волшебный
magistrate;магистрат
magnetic;магнитный
magnificent;великолепный
magnitude;величина
mail;почта
main;главный
mainland;материк
mainly;в основном
mainstream;основное направление
maintain;поддерживать
maintenance;поддержание
major;главный
majority;большинство
make;сделать
make-up;составить
making;изготовление
male;мужской
mall;торговый центр
man;мужчина
manage;управлять
management;управление
manager;управляющий делами
mandate;мандат
mandatory;обязательное
manifest;манифест
manipulate;манипулировать
manipulation;манипуляция
manner;манера
manufacture;производство
manufacturing;производство
manuscript;рукопись
many;много
map;карта
marathon;марафон
march;марш
margin;поле
marginal;маргинальный
marine;морской
mark;отметка
marker;маркер
market;рынок
marketing;маркетинг
marketplace;рынок
marriage;брак
married;женат
marry;выйти замуж
martial;воинственный
mask;маска
mass;масса
massacre;резня
massive;массивный
master;мастер
match;соответствие
matching;соответствие
mate;приятель
material;материал
mathematical;математический
mathematics;математика
maths;математика
matter;дело
mature;зрелый
maximize;максимизировать
maximum;максимум
May;май
may modal;может модальный
maybe;может быть
mayor;мэр
me;мне
meal;еда
mean;жадный
meaning;смысл
meaningful;значимый
means;средства
meantime;тем временем
meanwhile;тем временем
measure;мера
measurement;измерение
meat;мясо
mechanic;механик
mechanical;механический
mechanism;механизм
medal;медаль
media;СМИ
medical;медицинский
medication;медикамент
medicine;лекарство
medieval;средневековый
meditation;медитация
medium;средний
meet;встретить
meeting;встреча
melody;мелодия
melt;плавиться
member;член
membership;членство
memo;памятка
memoir;мемуары
memorable;памятный
memorial;мемориал
memory;объем памяти
mental;умственный
mention;упомянуть
mentor;наставник
menu;меню
merchant;купец
mercy;милость
mere;простой
merely;просто
merge;слияние
merger;слияние
merit;заслуга
mess;беспорядок
message;сообщение
metal;металл
metaphor;метафора
method;метод
methodology;методология
metre;метр
middle;средний
midnight;полночь
midst;посреди
might modal;может модальный
migration;миграция
mild;незначительный
mile;миля
militant;воинственный
military;военные
militia;милиция
milk;молоко
mill;мельница
million;миллион
mind;разум
mine;мое
miner;шахтер
mineral;минеральная
minimal;минимальный
minimize;минимизировать
minimum;минимум
mining;добыча полезных ископаемых
minister;министр
ministry;министерство
minor;незначительный
minority;меньшинство
minute;минута
miracle;чудо
mirror;зеркало
miserable;несчастный
misery;страдания
misleading;вводящий в заблуждение
miss;Мисс
missile;ракета
missing;отсутствует
mission;миссия
mistake;ошибка
mix;смешивание
mixed;смешанный
mixture;смесь
mob;толпа
mobile;мобильный
mobility;мобильность
mobilize;мобилизовать
mode;Режим
model;модель
moderate;умеренный
modern;современный
modest;скромный
modification;модификация
modify;модифицировать
moment;момент
momentum;импульс
Monday;понедельник
money;Деньги
monitor;монитор
monk;монах
monkey;обезьяна
monopoly;монополия
monster;монстр
month;месяц
monthly;ежемесячно
monument;памятник
mood;настроение
moon;Луна
moral;моральный
morality;мораль
more;Больше
moreover;Кроме того
morning;утро
mortgage;ипотека
mosque;мечеть
most;большинство
mostly;в основном
mother;мать
motion;движение
motivate;мотивировать
motivation;мотивация
motive;мотив
motor;мотор
motorcycle;мотоцикл
motorist;автомобилист
mount;монтировать
mountain;гора
mouse;мышь
mouth;рот
move;переехать
movement;движение
movie;фильм
moving;перемещение
much;много
mud;грязь
multiple;множественный
multiply;умножать
mum;мама
municipal;муниципальный
murder;убийство
muscle;мышца
museum;музей
music;Музыка
musical;музыкальный
musician;музыкант
must modal;должен модальный
mutual;взаимный
my;мой
myself;себя
mysterious;таинственный
mystery;тайна
myth;миф
nail;гвоздь
naked;голый
name;имя
namely;а именно
narrative;повествование
narrow;узкий
nasty;противный
nation;нация
national;национальный
nationwide;общенациональный
native;родные
natural;естественный
naturally;естественно
nature;природа
naval;военно-морской
navigation;навигация
near;возле
nearby;рядом, поблизости
nearly;около
neat;аккуратный
necessarily;обязательно
necessary;нужно
necessity;необходимость
neck;шея
need;необходимость
need modal;нужен модальный
needle;игла
negative;отрицательный
neglect;пренебрежение
negotiate;вести переговоры
negotiation;Переговоры
neighbour;сосед
neighbourhood;окрестности
neighbouring;соседний
neither;ни то, ни другое
nerve;нерв
nervous;нервный
nest;гнездо
net;сеть
network;сеть
neutral;нейтральный
never;никогда
nevertheless;тем не менее
new;новый
newly;недавно
news;Новости
newsletter;Новостная рассылка
newspaper;газета
next;следующий
next to;рядом с
nice;хороший
niche;ниша
night;ночь
nightmare;страшный сон
nine;9
nineteen;19
ninety;девяносто
no;нет
no one;ни один. Никто
noble;благородный
nobody;никто
nod;кивать головой
noise;шум
noisy;шумный
nominate;назначить
nomination;номинация
nominee;кандидат
non-profit;некоммерческий
none;никто
nonetheless;тем не менее
nonsense;бред какой то
noon;полдень
nor;ни
norm;норма
normal;обычный
normally;как обычно
north;север
northern;северный
nose;нос
not;не
notable;примечательный
notably;особенно
note;нота
notebook;ноутбук
nothing;ничего такого
notice;уведомление
notify;уведомлять
notion;понятие
notorious;печально известный
novel;роман
novelist;писатель
November;Ноябрь
now;сейчас
nowadays;Настоящее время
nowhere;нигде
nuclear;ядерный
number;количество
numerous;многочисленные
nurse;медсестра
nursery;питомник
nursingB2;уходB2
nut;орех
nutrition;питание
o'clock;час
obesity;ожирение
obey;подчиняться
object;объект
objection;возражение
objective;задача
obligation;обязательство
oblige;обязать
observation;наблюдение
observe;наблюдать
observer;наблюдатель
obsess;одержим
obsession;одержимость
obstacle;препятствие
obtain;получить
obvious;очевидный
obviously;очевидно
occasion;повод
occasional;случайный
occasionally;время от времени
occupation;род занятий
occupy;занимать
occur;происходить
occurrence;вхождение
ocean;океан
October;Октябрь
odd;странный
odds;шансы
of;из
off;выключен
offence;преступление
offend;оскорблять
offender;преступник
offensive;наступление
offer;предлагает
offering;предложение
office;офис
officer;офицер
official;официальный
offspring;потомство
often;довольно часто
oh;ой
oil;масло
OK;в порядке
old;старый
old-fashioned;старомодный
on;на
once;один раз
one;один
ongoing;продолжающийся
onion;лук
online;онлайн
only;только
onto;на
open;открыто
opening;открытие
openly;открыто
opera;опера
operate;работать
operation;операция
operational;оперативный
operator;оператор
opinion;мнение
opponent;противник
opportunity;возможность
oppose;противостоять
opposed;против
opposite;напротив
opposition;оппозиция
opt;выбрать
optical;оптический
optimism;оптимизм
optimistic;оптимистичный
option;вариант
or;или
oral;устный
orange;оранжевый
orchestra;оркестр
order;приказ
ordinary;обычный
organ;орган
organic;органический
organization;организация
organizational;организационная
organize;организовать
organized;организованный
organizer;организатор
orientation;ориентация
origin;происхождение
original;оригинал
originally;изначально
originate;возникать
other;Другой
otherwise;иначе
ought modal;должен модальный
our;наш
ours;наш
ourselves;мы сами
out;вне
outbreak;вспышка
outcome;результат
outdoor;открытый
outdoors;на открытом воздухе
outer;внешний
outfit;снаряжение
outing;прогулка
outlet;выход
outline;контур
outlook;мировоззрение
output;выход
outrage;возмущение
outside;вне
outsider;посторонний
outstanding;выдающийся
oven;печь
over;над
overall;в общем и целом
overcome;преодолеть
overlook;не заметить
overly;чрезмерно
overnight;с ночевкой
overseas;за границей
oversee;наблюдать
overturn;переворачивать
overwhelm;подавлять
overwhelming;подавляющий
owe;должен
own;своя
owner;владелец
ownership;право собственности
oxygen;кислород
pace;темп
pack;паковать
package;пакет
packet;пакет
pad;подушечка
page;страница
pain;боль
painful;болезненный
paint;покрасить
painter;художник
painting;картина
pair;пара
palace;дворец
pale;бледный
palm;Пальма
pan;кастрюля
panel;панель
panic;паника
pants;брюки
paper;бумага
parade;парад
paragraph;параграф
parallel;параллельно
parameter;параметр
parent;родитель
parental;родительский
parish;приход
park;парк
parking;стоянка
parliament;парламент
parliamentary;парламентский
part;часть
part-time;неполная занятость
partial;частичный
partially;частично
participant;участник
participate;участвовать
participation;участие
particular;частности
particularly;особенно
partly;частично
partner;партнер
partnership;партнерство
party;вечеринка
pass;проходить
passage;проход
passenger;пассажир
passing;прохождение
passion;страсть
passionate;страстный
passive;пассивный
passport;паспорт
password;пароль
past;прошлое
pastor;пастор
patch;патч
patent;патент
path;дорожка
pathway;путь
patience;терпение
patient;пациент
patrol;патруль
patron;покровитель
pattern;шаблон
pause;Пауза
pay;платить
payment;оплата
peace;мир
peaceful;мирный
peak;пик
peasant;крестьянин
peculiar;своеобразный
peer;сверстник
pen;ручка
penalty;штраф
pencil;карандаш
penny;пенни
pension;пенсия
people;люди
pepper;перец
per;на
per cent;процент
perceive;воспринимать
percentage;процент
perception;восприятие
perfect;идеально
perfectly;в совершенстве
perform;выполнять
performance;спектакль
perhaps;возможно
period;период
permanent;постоянный
permanently;постоянно
permission;разрешение
permit;разрешать
persist;настаивать
persistent;стойкий
person;человек
personal;личный
personality;личность
personally;лично
personnel;персонал
perspective;перспектива
persuade;убедить
pet;домашнее животное
petition;петиция
petrol;бензин
phase;фаза
phenomenon;явление
philosopher;философ
philosophical;философский
philosophy;философия
phone;Телефон
photo;Фото
photograph;фотография
photographer;фотограф
photography;фотография
phrase;фраза
physical;физический
physician;врач
physics;физика
piano;пианино
pick;выбирать
picture;картина
piece;кусок
pig;свинья
pile;куча
pill;таблетка
pilot;пилот
pin;штырь
pink;розовый
pioneer;пионер
pipe;труба
pipeline;трубопровод
pirate;пират
pit;яма
pitch;подача
pity;жалость
place;место
placement;размещение
plain;простой
plan;строить планы
plane;самолет
planet;планета
planning;планирование
plant;растение
plastic;пластик
plate;тарелка
platform;Платформа
play;играть
player;игрок
plea;мольба
plead;умолять
pleasant;приятный
please;пожалуйста
pleased;довольный
pleasure;удовольствие
pledge;залог
plenty;много
plot;сюжет
plug;вилка
plunge;окунуться
plus;плюс
pocket;карман
poem;стих
poet;поэт
poetry;поэзия
point;точка
pointed;заостренный
poison;яд
poisonous;ядовитый
pole;столб
police;полиция
policeman;полицейский
policy;политика
polite;вежливый
political;политический
politician;политик
politics;политика
poll;голосование
pollution;загрязнение
pond;пруд
pool;бассейн
poor;бедных
pop;поп
popular;популярный
popularity;популярность
population;численность населения
port;порт
portfolio;портфолио
portion;часть
portrait;портрет
portray;изображать
pose;поза
position;должность
positive;положительный
possess;обладать
possession;владение
possibility;возможность
possible;возможное
possibly;возможно
post;после
post-war;послевоенный
poster;плакат
postpone;откладывать
pot;горшок
potato;картошка
potential;потенциал
potentially;потенциально
pound;фунт
pour;налить
poverty;бедность
powder;порошок
power;мощность
powerful;мощный
practical;практичный
practice;практика
practise;практика
practitioner;практикующий
praise;хвалить
pray;молиться
prayer;молитва
preach;проповедовать
precede;предшествовать
precedent;прецедент
precious;драгоценный
precise;точный
precisely;точно
precision;точность
predator;хищник
predecessor;предшественник
predict;предсказывать
predictable;предсказуемый
prediction;предсказание
predominantly;преимущественно
prefer;предпочитаю
preference;предпочтение
pregnancy;беременность
pregnant;беременная
prejudice;предубеждение
preliminary;предварительный
premier;премьер
premise;предпосылка
premium;премия
preparation;подготовка
prepare;подготовить
prepared;подготовлен
prescribe;прописывать
prescription;рецепт
presence;присутствие
present;настоящее время
presentation;презентация
presently;в настоящее время
preservation;сохранение
preserve;сохранить
preside;председательствовать
presidency;президентство
president;президент
presidential;президентский
press;Нажмите
pressure;давление
prestigious;престижный
presumably;предположительно
presume;предполагать
pretend;притворяться
pretty;хорошенький
prevail;преобладать
prevalence;распространенность
prevent;не допустить
prevention;профилактика
previous;предыдущий
previously;ранее
prey;добыча
price;цена
pride;гордость
priest;священник
primarily;в первую очередь
primary;первичный
prime;премьер
prince;принц
princess;принцесса
principal;главный
principle;принцип
print;Распечатать
printer;принтер
printing;печать
prior;предшествующий
priority;приоритет
prison;тюрьма
prisoner;пленник
privacy;Конфиденциальность
private;частный
privatization;приватизация
privilege;привилегия
prize;приз
probability;вероятность
probable;вероятный
probably;вероятно
probe;зонд
problem;проблема
problematic;проблемный
procedure;процедура
proceed;продолжить
proceeding;продолжение
proceeds;выручка
process;процесс
processing;обработка
processor;процессор
proclaim;провозглашать
produce;производить
producer;режиссер
product;товар
production;производство
productive;продуктивный
productivity;продуктивность
profession;профессия
professional;профессиональный
professor;профессор
profile;профиль
profit;прибыль
profitable;прибыльный
profound;глубокий
program;программа
programme;программа
programming;программирование
progress;прогресс
progressive;прогрессивный
prohibit;запретить
project;проект
projection;проекция
prominent;видный
promise;обещание
promising;многообещающий
promote;продвигать
promotion;продвижение
prompt;незамедлительный
pronounce;произносить
pronounced;выраженный
proof;доказательство
propaganda;пропаганда
proper;правильный
properly;должным образом
property;свойство
proportion;пропорция
proposal;предложение
propose;предлагать
proposition;предложение
prosecute;преследовать
prosecution;судебное преследование
prosecutor;прокурор
prospect;перспектива
prospective;перспективный
prosperity;процветание
protect;защищать
protection;защита
protective;защитный
protein;белок
protest;протест
protester;протестующий
protocol;протокол
proud;гордый
prove;доказать
provide;предоставлять
province;провинция
provincial;провинциальный
provision;обеспечение
provoke;провоцировать
psychiatric;психиатрический
psychological;психологический
psychologist;психолог
psychology;психология
pub;паб
public;общественный
publication;публикация
publicity;гласность
publish;публиковать
publishing;издательский
pull;вытащить
pulse;пульс
pump;насос
punch;удар
punish;наказать
punishment;наказание
punk;панк
pupil;ученик
purchase;покупка
pure;чистый
purely;чисто
purple;пурпурный
purpose;цель
pursue;преследовать
pursuit;погоня
push;От себя
put;положить
puzzle;головоломка
qualification;квалификация
qualified;квалифицированный
qualify;квалифицировать
quality;качество
quantity;количество
quarter;четверть
queen;Королева
query;запрос
quest;квест
question;вопрос
questionnaire;анкета
